Collection,ministry,n_rows,merge_add_columns,needs_review,n_header_sigs,n_missing_header,sample_titles
"Village/Town-wise Primary Census Abstract, 2011 - Aurangabad District (schema 1)","Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",578,district,False,1,0,"Village/Town-wise Primary Census Abstract, 2011 - Kupwara District of JAMMU & KASHMIR | Village/Town-wise Primary Census Abstract, 2011 - Badgam District of JAMMU & KASHMIR | Village/Town-wise Primary Census Abstract, 2011 - Leh(Ladakh) District of JAMMU & KASHMIR"
Population ages 5-19 attending educational institutions by economic activity status and sex,"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",70,,True,1,69,"Population ages 5-19 attending educational institutions by economic activity status and sex, 2001 - INDIA | Population ages 5-19 attending educational institutions by economic activity status and sex, 2001 - JAMMU & KASHMIR | Population ages 5-19 attending educational institutions by economic activity status and sex, 2001 - HIMACHAL PRADESH"
Number of Newly Registered Motor Vehicles in 2002-03 and 2003-04 and Number of Registered Motor Vehicles as on 31st March 2003 and 31st March,Ministry of Road Transport and Highways,70,state,True,2,0,Number of Newly Registered Motor Vehicles in 2004-05 and 2005-06 and Number of Registered Motor Vehicles as on 31st March 2005 and 31st March 2006 in Andhra Pradesh | Number of Newly Registered Motor Vehicles in 2004-05 and 2005-06 and Number of Registered Motor Vehicles as on 31st March 2005 and 31st March 2006 in Arunachal Pradesh | Number of Newly Registered Motor Vehicles in 2004-05 and 2005-06 and Number of Registered Motor Vehicles as on 31st March 2005 and 31st March 2006 in Assam
Ever married and currently married population by age at marriage and duration of marriage,"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",70,,True,1,69,"Ever married and currently married population by age at marriage and duration of marriage, 2001 - INDIA | Ever married and currently married population by age at marriage and duration of marriage, 2001 - JAMMU & KASHMIR | Ever married and currently married population by age at marriage and duration of marriage, 2001 - HIMACHAL PRADESH"
Number of Newly Registered Motor Vehicles in 2009-10 and 2010-11 and Number of Registered Motor Vehicles,Ministry of Road Transport and Highways,68,state,True,4,0,"Number of Newly Registered Motor Vehicles in 2011-12 and Number of Registered Motor Vehicles as on 31st March, 2012 in Andaman and Nicobar Islands | Number of Newly Registered Motor Vehicles in 2011-12 and Number of Registered Motor Vehicles as on 31st March, 2012 in Andhra Pradesh | Number of Newly Registered Motor Vehicles in 2011-12 and Number of Registered Motor Vehicles as on 31st March, 2012 in Assam"
Population in five year age-group by Residence and Sex for Scheduled Castes,"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",65,state,True,0,65,"Population in five year age-group by Residence and Sex for Scheduled Castes, 2001 - INDIA | Population in five year age-group by Residence and Sex for Scheduled Castes, 2001 - JAMMU & KASHMIR | Population in five year age-group by Residence and Sex for Scheduled Castes, 2001 - HIMACHAL PRADESH"
Education Level Graduate and Above by Sex for Population Age 15 and Above,"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",64,state,True,0,64,"Education Level Graduate and Above by Sex for Population Age 15 and Above, 2001 - India | Education Level Graduate and Above by Sex for Population Age 15 and Above, 2001 - Jammu & Kashmir | Education Level Graduate and Above by Sex for Population Age 15 and Above, 2001 - Himachal Pradesh"
Scheduled Caste Households by Source of Drinking Water and its Location,"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",64,year,False,1,62,"Scheduled Caste Households by main source of drinking water and its location, 2011 | Scheduled Tribe Households by main source of drinking water and its location, 2011 | Scheduled Caste Households by Source of Drinking Water and its Location, 2001 - Jammu & Kashmir"
Households Belonging to Scheduled Castes having Children in the Age-Group 5-14 Years by Children Attending School,"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",64,state,True,0,64,"Households Belonging to Scheduled Castes having Children in the Age-Group 5-14 Years by Children Attending School, 2001 - India | Households Belonging to Scheduled Castes having Children in the Age-Group 5-14 Years by Children Attending School, 2001 - Jammu & Kashmir | Households Belonging to Scheduled Castes having Children in the Age-Group 5-14 Years by Children Attending School, 2001 - Himachal Pradesh"
Education Level by Age and Sex for Population Age 7 and Above,"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",63,state,True,0,63,"Education Level by Age and Sex for Population Age 7 and Above, 2001 - India | Education Level by Age and Sex for Population Age 7 and Above, 2001 - Jammu & Kashmir | Education Level by Age and Sex for Population Age 7 and Above, 2001 - Himachal Pradesh"
Scheduled Caste Households by Availability of Separate Kitchen and Type of Fuel Used for Cooking,"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",62,state,True,0,62,"Scheduled Caste Households by Availability of Separate Kitchen and Type of Fuel Used for Cooking, 2001 - Jammu & Kashmir | Scheduled Caste Households by Availability of Separate Kitchen and Type of Fuel Used for Cooking, 2001 - Himachal Pradesh | Scheduled Caste Households by Availability of Separate Kitchen and Type of Fuel Used for Cooking, 2001 - Punjab"
